City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Marsh Harbour,BS,2022-04-30 13:05:41,26.5412,-77.0636,73.29,79,100,20.51
59,Kapaa,US,2022-04-30 13:07:28,22.0752,-159.319,74.12,86,100,18.41
60,Busselton,AU,2022-04-30 13:07:28,-33.65,115.3333,57.96,79,0,7.25
61,Selty,RU,2022-04-30 13:07:29,57.3132,52.1345,47.93,45,100,9.04
62,Tasiilaq,GL,2022-04-30 13:03:15,65.6145,-37.6368,44.76,43,100,16.06
63,Yulara,AU,2022-04-30 13:07:30,-25.2406,130.9889,63.75,62,100,18.75
64,Kahului,US,2022-04-30 13:07:21,20.8947,-156.47,73.85,79,75,16.11
65,Pinawa,CA,2022-04-30 13:07:30,50.1489,-95.8811,38.53,97,100,6.73
66,Constitucion,CL,2022-04-30 13:07:31,-35.3333,-72.4167,51.66,53,0,6.46
67,Nieuw Amsterdam,SR,2022-04-30 13:07:32,5.8833,-55.0833,87.03,74,70,12.55
68,Fallingbostel,DE,2022-04-30 13:07:32,52.8667,9.7,55.98,44,95,8.12
69,Upernavik,GL,2022-04-30 13:07:33,72.7868,-56.1549,18.16,80,100,17.22
70,Hilo,US,2022-04-30 13:07:33,19.7297,-155.09,74.28,96,100,3.44
71,Bluff,NZ,2022-04-30 13:07:34,-46.6,168.3333,54.59,81,83,15.95
72,Cibitoke,BI,2022-04-30 13:07:34,-2.8833,29.25,73.85,72,100,1.61
73,Sitka,US,2022-04-30 13:07:35,57.0531,-135.33,37.29,75,20,0.0
74,Port Blair,IN,2022-04-30 13:07:35,11.6667,92.75,85.14,71,27,5.14
75,Qaanaaq,GL,2022-04-30 13:07:36,77.484,-69.3632,15.44,80,100,8.75
76,Hithadhoo,MV,2022-04-30 13:07:37,-0.6,73.0833,85.44,70,80,15.19
77,Dinguiraye,GN,2022-04-30 13:07:37,11.3,-10.7167,95.79,31,90,2.39
78,Mahebourg,MU,2022-04-30 13:07:38,-20.4081,57.7,79.25,78,40,6.91
79,Flinders,AU,2022-04-30 13:07:38,-34.5833,150.8552,59.18,70,12,3.0
80,Puerto Ayora,EC,2022-04-30 13:07:39,-0.7393,-90.3518,72.01,90,32,8.5
81,Lompoc,US,2022-04-30 13:07:39,34.6391,-120.4579,56.79,97,0,6.91
82,Kasama,ZM,2022-04-30 13:07:40,-10.2129,31.1808,72.45,69,100,2.55
83,Georgetown,MY,2022-04-30 13:07:00,5.4112,100.3354,85.95,74,20,3.44
84,Bambous Virieux,MU,2022-04-30 13:07:41,-20.3428,57.7575,79.21,78,40,6.91
85,Esso,RU,2022-04-30 13:07:41,55.9333,158.7,15.3,89,6,3.78
86,Severo-Kurilsk,RU,2022-04-30 13:07:42,50.6789,156.125,33.98,84,100,18.75
87,Haines Junction,CA,2022-04-30 13:07:42,60.7522,-137.5108,16.03,100,76,3.24
88,Vagur,FO,2022-04-30 13:07:43,61.4732,-6.8119,45.09,90,100,12.91
89,Uyemskiy,RU,2022-04-30 13:07:43,64.4743,40.8524,35.65,69,75,6.71
90,Pevek,RU,2022-04-30 13:07:44,69.7008,170.3133,-3.82,100,95,1.74
91,Regina,CA,2022-04-30 13:04:00,50.4501,-104.6178,43.99,75,100,8.99
92,Atchison,US,2022-04-30 13:08:45,39.563,-95.1216,57.79,87,6,18.16
93,Hokitika,NZ,2022-04-30 13:08:45,-42.7167,170.9667,53.94,86,76,5.23
94,Khatanga,RU,2022-04-30 13:08:46,71.9667,102.5,8.2,95,18,6.13
95,Roma,US,2022-04-30 13:06:04,43.2128,-75.4557,48.09,58,0,1.01
96,Berlevag,NO,2022-04-30 13:08:47,70.8578,29.0864,26.4,69,100,15.48
97,Victoria,HK,2022-04-30 13:08:14,22.2855,114.1577,79.18,82,100,15.01
98,Ouegoa,NC,2022-04-30 13:08:47,-20.35,164.4333,74.43,82,8,12.82
99,Neiafu,TO,2022-04-30 13:08:48,-18.65,-173.9833,79.48,94,75,2.3
100,East Stroudsburg,US,2022-04-30 13:08:48,40.9995,-75.1813,53.29,35,0,7.52
101,Aksu,CN,2022-04-30 13:08:49,41.1231,80.2644,70.07,20,98,6.49
102,Lokosovo,RU,2022-04-30 13:08:49,61.1333,74.8167,31.96,75,7,1.88
103,Reyes,BO,2022-04-30 13:08:50,-14.3167,-67.3833,71.42,96,98,2.17
104,Saint-Joseph,RE,2022-04-30 13:08:51,-21.3667,55.6167,82.78,81,53,7.43
105,Fortuna,US,2022-04-30 13:08:51,40.5982,-124.1573,53.92,89,100,0.0
106,Cabedelo,BR,2022-04-30 13:08:52,-6.9811,-34.8339,84.87,69,51,13.73
107,Esperance,AU,2022-04-30 13:08:52,-33.8667,121.9,60.6,70,0,4.27
108,Dongning,CN,2022-04-30 13:08:53,44.0622,131.1207,39.13,92,55,4.5
109,Jamestown,US,2022-04-30 13:04:47,42.097,-79.2353,47.71,54,0,5.75
110,Ostrovnoy,RU,2022-04-30 13:08:54,68.0531,39.5131,28.38,75,100,17.13
111,Soe,ID,2022-04-30 13:08:54,-9.8607,124.284,67.64,92,99,4.79
112,Grindavik,IS,2022-04-30 13:08:55,63.8424,-22.4338,45.07,81,75,10.36
113,Grenfell,AU,2022-04-30 13:08:55,-33.9,148.1667,49.26,63,7,4.34
114,Tuatapere,NZ,2022-04-30 13:08:56,-46.1333,167.6833,54.88,82,100,8.52
115,Bandarbeyla,SO,2022-04-30 13:08:56,9.4942,50.8122,86.72,66,21,12.88
116,Klamath Falls,US,2022-04-30 13:08:57,42.2249,-121.7817,45.88,92,75,0.0
117,Winslow,US,2022-04-30 13:08:57,35.0242,-110.6974,37.58,25,0,8.05
118,Amahai,ID,2022-04-30 13:08:58,-3.3333,128.9167,80.89,80,65,2.8
119,Kruisfontein,ZA,2022-04-30 13:08:59,-34.0033,24.7314,69.89,51,0,20.27
120,Ambon,ID,2022-04-30 13:07:33,-3.6954,128.1814,83.05,75,100,7.2
121,Fare,PF,2022-04-30 13:08:59,-16.7,-151.0167,80.01,75,2,18.21
122,Pilot Butte,CA,2022-04-30 13:09:00,50.4668,-104.4178,43.63,75,100,6.6
123,Hofn,IS,2022-04-30 13:09:01,64.2539,-15.2082,47.62,76,9,11.9
124,Ancud,CL,2022-04-30 13:09:01,-41.8697,-73.8203,44.51,81,27,3.2
125,Nuuk,GL,2022-04-30 13:09:02,64.1835,-51.7216,23.61,74,20,18.41
126,Port Macquarie,AU,2022-04-30 13:09:03,-31.4333,152.9167,62.89,80,100,7.43
127,Chimoio,MZ,2022-04-30 13:09:03,-19.1164,33.4833,78.66,41,0,5.75
128,Klaksvik,FO,2022-04-30 13:09:04,62.2266,-6.589,49.12,84,96,6.93
129,Yamada,JP,2022-04-30 13:09:05,39.4667,141.95,44.08,76,100,6.62
130,Carnarvon,AU,2022-04-30 13:09:06,-24.8667,113.6333,73.47,56,0,11.5
131,Chicama,PE,2022-04-30 13:09:06,-7.8447,-79.1469,59.54,80,88,4.29
132,Charlottesville,US,2022-04-30 13:09:07,38.0293,-78.4767,54.25,39,100,9.22
133,Bonfim,BR,2022-04-30 13:09:08,3.0833,-59.95,83.12,64,100,6.26
134,Sorong,ID,2022-04-30 13:09:09,-0.8833,131.25,81.82,79,100,5.3
135,Hasaki,JP,2022-04-30 13:09:09,35.7333,140.8333,45.0,51,23,12.28
136,Verkhnyaya Toyma,RU,2022-04-30 13:09:10,62.2349,44.9985,38.37,45,100,7.31
137,Sao Filipe,CV,2022-04-30 13:09:11,14.8961,-24.4956,74.28,68,83,9.37
138,Itarema,BR,2022-04-30 13:09:12,-2.9248,-39.9167,82.9,73,22,11.18
139,Bay Roberts,CA,2022-04-30 13:10:13,47.5999,-53.2648,47.66,93,100,1.99
140,Tottori,JP,2022-04-30 13:10:14,35.5,134.2333,50.86,78,100,3.02
141,Port Hardy,CA,2022-04-30 13:09:18,50.6996,-127.4199,45.39,88,98,8.46
142,Dikson,RU,2022-04-30 13:10:15,73.5069,80.5464,19.47,90,100,19.1
143,Souillac,MU,2022-04-30 13:10:16,-20.5167,57.5167,79.18,78,40,6.91
144,East London,ZA,2022-04-30 13:10:17,-33.0153,27.9116,70.5,56,0,21.77
145,Portland,US,2022-04-30 13:07:37,45.5234,-122.6762,53.46,95,100,9.22
146,Coihaique,CL,2022-04-30 13:10:18,-45.5752,-72.0662,43.41,93,75,4.61
147,Samarai,PG,2022-04-30 13:10:19,-10.6167,150.6667,81.34,77,59,4.61
148,Avera,US,2022-04-30 13:10:20,33.194,-82.5271,66.54,70,96,7.99
149,Yatou,CN,2022-04-30 13:10:20,37.15,122.3833,46.02,40,100,6.15
150,Rawson,AR,2022-04-30 13:10:21,-43.3002,-65.1023,49.23,40,75,11.01
151,Hobart,AU,2022-04-30 13:10:22,-42.8794,147.3294,56.26,74,40,14.97
152,Richards Bay,ZA,2022-04-30 13:10:23,-28.783,32.0377,68.99,79,93,15.39
153,Korla,CN,2022-04-30 13:10:24,41.7597,86.1469,67.35,21,0,9.62
154,Xinyu,CN,2022-04-30 13:10:25,27.8043,114.9334,56.71,96,100,3.6
155,Airai,TL,2022-04-30 13:10:26,-8.9266,125.4092,61.11,90,85,3.11
156,Mala Danylivka,UA,2022-04-30 13:10:26,50.0635,36.1656,57.97,38,94,4.9
157,Petropavlovsk-Kamchatskiy,RU,2022-04-30 13:10:27,53.0452,158.6483,28.99,74,0,6.71
