City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,New Norfolk,AU,-42.7826,147.0587,59.92,73,100,1.01,overcast clouds
69,Akyab,MM,20.15,92.9,83.7,72,2,5.46,clear sky
70,Sorsk,RU,54.0033,90.2467,56.41,72,52,17.25,broken clouds
71,Hofn,IS,64.2539,-15.2082,35.62,75,100,6.91,overcast clouds
72,Wanning,CN,18.8003,110.3967,67.14,93,100,13.96,overcast clouds
73,Dingle,PH,10.9995,122.6711,78.51,68,100,6.55,overcast clouds
74,Lebu,CL,-37.6167,-73.65,53.53,82,6,14.67,clear sky
75,Werda,BW,-25.2667,23.2833,76.44,29,0,6.42,clear sky
76,Avera,US,33.194,-82.5271,75.38,74,79,5.64,broken clouds
77,Kimbe,PG,-5.5502,150.1429,76.24,93,75,3.4,broken clouds
78,Cape Town,ZA,-33.9258,18.4232,79.21,37,0,9.22,clear sky
79,Ambovombe,MG,-25.1667,46.0833,71.55,66,40,8.95,scattered clouds
80,Hosszupalyi,HU,47.393,21.7328,69.8,40,0,10.36,clear sky
81,Charyshskoye,RU,51.3978,83.5598,58.44,72,100,3.15,overcast clouds
82,Koslan,RU,63.4564,48.8989,38.82,69,100,7.85,overcast clouds
83,Hasaki,JP,35.7333,140.8333,54.0,64,100,4.79,light rain
84,San Cristobal,VE,7.7669,-72.225,77.18,78,100,6.38,overcast clouds
85,Yumbe,UG,3.4651,31.2469,72.81,69,87,7.45,overcast clouds
86,Talnakh,RU,69.4865,88.3972,24.21,96,100,1.5,overcast clouds
87,Mount Isa,AU,-20.7333,139.5,74.97,60,42,8.05,scattered clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,0,11.5,clear sky
89,Kapaa,US,22.0752,-159.319,71.92,92,75,14.97,light rain
90,Tiksi,RU,71.6872,128.8694,2.03,98,17,6.02,few clouds
91,Dikson,RU,73.5069,80.5464,14.72,91,100,13.6,overcast clouds
92,Gigmoto,PH,13.7796,124.39,78.91,81,100,5.75,overcast clouds
93,Mataura,NZ,-46.1927,168.8643,47.48,90,34,2.84,scattered clouds
94,Tura,IN,25.5198,90.2201,74.03,85,16,4.18,few clouds
95,Port Elizabeth,ZA,-33.918,25.5701,72.32,75,0,17.27,clear sky
96,Natal,BR,-5.795,-35.2094,86.22,79,75,12.66,broken clouds
97,Namibe,AO,-15.1961,12.1522,78.93,65,3,12.75,clear sky
98,Diego De Almagro,CL,-26.3667,-70.05,64.29,40,51,1.48,broken clouds
99,Geraldton,AU,-28.7667,114.6,64.81,77,0,12.66,clear sky
100,East London,ZA,-33.0153,27.9116,72.54,68,0,13.8,clear sky
101,Chuy,UY,-33.6971,-53.4616,62.02,54,100,10.58,overcast clouds
102,Haines Junction,CA,60.7522,-137.5108,35.55,75,78,8.05,broken clouds
103,Korcula,HR,42.9622,17.1369,57.81,71,100,3.85,overcast clouds
104,Usinsk,RU,65.9939,57.5281,29.86,77,100,10.67,overcast clouds
105,Saskylakh,RU,71.9167,114.0833,6.66,90,35,6.78,scattered clouds
106,Bom Jardim,BR,-7.7958,-35.5872,85.1,59,63,11.83,broken clouds
107,Korla,CN,41.7597,86.1469,73.31,15,100,11.45,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,69.1,44,61,1.99,broken clouds
109,Pisco,PE,-13.7,-76.2167,66.25,77,0,2.3,clear sky
110,Karachi,PK,24.9056,67.0822,85.82,58,0,23.02,dust
111,Beaverlodge,CA,55.2166,-119.4361,34.95,97,100,6.76,overcast clouds
112,Saint George,US,37.1041,-113.5841,56.25,48,0,9.22,clear sky
113,Krasnoselkup,RU,65.7,82.4667,30.69,90,100,4.97,overcast clouds
114,Hobart,AU,-42.8794,147.3294,60.22,74,75,6.91,broken clouds
115,Tazmalt,DZ,36.3868,4.3989,68.5,57,100,3.42,light rain
116,Xining,CN,36.6167,101.7667,47.12,38,0,2.71,clear sky
117,Kropotkin,RU,45.4375,40.5756,46.54,95,100,13.42,overcast clouds
118,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,32,6.96,scattered clouds
119,Sur,OM,22.5667,59.5289,91.06,34,0,4.29,clear sky
120,Muravlenko,RU,63.7898,74.523,27.1,92,99,6.93,overcast clouds
121,Faratsiho,MG,-19.4,46.95,63.28,72,94,1.25,overcast clouds
122,Bredasdorp,ZA,-34.5322,20.0403,74.28,48,40,8.63,scattered clouds
123,Laguna,US,38.421,-121.4238,54.01,76,0,10.36,clear sky
124,Jablanica,BA,43.6603,17.7617,57.33,92,100,4.05,overcast clouds
125,Manitouwadge,CA,49.1215,-85.8403,41.34,100,100,2.08,overcast clouds
126,Pallipattu,IN,13.3386,79.4449,92.55,38,100,5.17,overcast clouds
127,Komsomolskiy,UZ,40.4272,71.7189,83.12,30,100,20.71,overcast clouds
128,Athens,GR,37.9795,23.7162,62.28,75,100,12.66,overcast clouds
129,Manuk Mangkaw,PH,4.8,119.85,83.91,69,17,0.98,few clouds
130,Nanortalik,GL,60.1432,-45.2371,35.6,94,100,5.7,light rain
131,Jaggayyapeta,IN,16.9,80.1,85.98,50,43,17.25,scattered clouds
132,Coihaique,CL,-45.5752,-72.0662,43.41,87,75,4.61,broken clouds
133,Butaritari,KI,3.0707,172.7902,81.23,79,93,12.75,light rain
134,Torbay,CA,47.6666,-52.7314,43.29,96,100,9.22,light intensity drizzle
135,Vestmanna,FO,62.1564,-7.1664,40.12,56,40,11.5,scattered clouds
136,Tevaitoa,PF,-16.7833,-151.5,80.1,76,100,8.75,overcast clouds
137,Ashland,US,40.8167,-82.2665,53.56,74,12,10.76,few clouds
138,Ormara,PK,25.2088,64.6357,83.64,69,0,21.16,clear sky
139,Jacareacanga,BR,-6.2222,-57.7528,80.53,90,60,0.69,broken clouds
140,Benemerito De Las Americas,MX,16.5167,-90.6439,77.47,88,58,2.51,broken clouds
141,Cherskiy,RU,68.75,161.3,26.85,95,100,4.25,overcast clouds
142,Umm Kaddadah,SD,13.6017,26.6876,104.65,6,29,14.43,scattered clouds
143,Coahuayana,MX,18.7333,-103.6833,76.39,28,100,0.43,overcast clouds
144,Mar Del Plata,AR,-38.0023,-57.5575,51.87,71,100,8.05,overcast clouds
145,Bengkulu,ID,-3.8004,102.2655,78.26,88,100,3.0,moderate rain
